Part_Name,Slot,Class,GraphQL_ID,Axie_Amount
Doubletalk,Mouth,Bird,mouth-doubletalk,289396
Blossom,Eyes,Plant,eyes-blossom,289717
Kestrel,Horn,Bird,horn-kestrel,297534
Tricky,Eyes,Reptile,eyes-tricky,313946
Kabuki / Tricky,Eyes,Reptile,eyes-tricky,313946
Bamboo,Horn,Plant,horn-bamboo-shoot,324185
Bidens,Back,Plant,back-bidens,327302
Grass Snake,Tail,Reptile,tail-grass-snake,341558
Telescope,Eyes,Aquatic,eyes-telescope,342110
Hare,Tail,Beast,tail-hare,342954
Cucumber Slice,Eyes,Plant,eyes-cucumber-slice,343232
Early Bird,Ears,Bird,ears-early-bird,348984
Piranha,Mouth,Aquatic,mouth-piranha,349329
Vall Ein,Horn,Bug,horn-lagging,358412
Garish Worm,Back,Bug,back-garish-worm,371270
Peace Maker,Ears,Bird,ears-peace-maker,372101
Shiba,Tail,Beast,tail-shiba,387410
Owl,Ears,Bird,ears-owl,392128
Sleepless,Eyes,Aquatic,eyes-sleepless,398324
Post Fight,Tail,Bird,tail-post-fight,403254
Beech,Horn,Plant,horn-beech,407443
Cottontail,Tail,Beast,tail-cottontail,409866
Rosa,Ears,Plant,ears-rosa,432258
Nimo,Ears,Aquatic,ears-nimo,445032
Goda,Mouth,Beast,mouth-goda,454034
Dual Blade,Horn,Beast,horn-dual-blade,470999
Zigzag,Mouth,Plant,mouth-zigzag,484577
Anemone,Back,Aquatic,back-anemone,501953
Anemone,Horn,Aquatic,horn-anemone,504579
Nyan,Ears,Beast,ears-nyan,512687
Yam,Tail,Plant,tail-yam,554410
Pigeon Post,Back,Bird,back-pigeon-post,560215
Gill,Ears,Aquatic,ears-gill,581461
Oranda,Horn,Aquatic,horn-oranda,586695
Rose Bud,Horn,Plant,horn-rose-bud,597997
Lam,Mouth,Aquatic,mouth-lam,598386
Nut Cracker,Ears,Beast,ears-nut-cracker,605994
Gero,Eyes,Aquatic,eyes-gero,631582
Rosa / Hollow,Ears,Plant,ears-hollow,645612
Hollow,Ears,Plant,ears-hollow,645612
Little Owl,Mouth,Bird,mouth-little-owl,645725
Hot Butt,Tail,Plant,tail-hot-butt,695552
Eggshell,Horn,Bird,horn-eggshell,714522
Clover,Ears,Plant,ears-clover,758122
Leaf Bug,Horn,Bug,horn-leaf-bug,821651
Snail Shell,Back,Bug,back-snail-shell,882704
Thorny Caterpillar,Tail,Bug,tail-thorny-caterpillar,887090
Confused,Eyes,Plant,eyes-confused,928784
Confused / Papi,Eyes,Plant,eyes-confused,928784
Chubby,Eyes,Beast,eyes-chubby,981127
Koi,Tail,Aquatic,tail-koi,1003247
Mavis,Eyes,Bird,eyes-mavis,1009412
Nutcracker,Tail,Beast,tail-nut-cracker,1050623
Inkling,Ears,Aquatic,ears-inkling,1087126
Imp,Horn,Beast,horn-imp,1129436
Nutcracker,Mouth,Beast,mouth-nut-cracker,1160532
Shoal Star,Horn,Aquatic,horn-shoal-star,1174119
Bubblemaker,Ears,Aquatic,ears-bubblemaker,1174747
Cactus,Horn,Plant,horn-cactus,1288702
Ronin,Back,Beast,back-ronin,1294801
Tiny Turtle,Mouth,Reptile,mouth-tiny-turtle,1331344
Nimo,Tail,Aquatic,tail-nimo,1517471
Carrot,Tail,Plant,tail-carrot,1642539
Papi,Eyes,Plant,eyes-papi,1696162
Risky Fish,Mouth,Aquatic,mouth-risky-fish,1792149
Goldfish,Back,Aquatic,back-goldfish,1796797
Clear,Eyes,Aquatic,eyes-clear,1932563
Gero / Clear,Eyes,Aquatic,eyes-clear,1932563
Pumpkin,Back,Plant,back-pumpkin,2292667
Serious,Mouth,Plant,mouth-serious,2533158
