permutation_mouth_tail,Axie_amount,Permutation_Type,Permutation_class
mouth-piranha__tail-nimo,130369,Pure,Aquatic
mouth-piranha__tail-tadpole,3625,Pure,Aquatic
mouth-piranha__tail-ranchu,4531,Pure,Aquatic
mouth-piranha__tail-navaga,13953,Pure,Aquatic
mouth-piranha__tail-shrimp,24913,Pure,Aquatic
mouth-catfish__tail-koi,22831,Pure,Aquatic
mouth-catfish__tail-nimo,36268,Pure,Aquatic
mouth-catfish__tail-tadpole,2119,Pure,Aquatic
mouth-catfish__tail-ranchu,3201,Pure,Aquatic
mouth-catfish__tail-navaga,7844,Pure,Aquatic
mouth-catfish__tail-shrimp,4049,Pure,Aquatic
mouth-serious__tail-carrot,1265385,Pure,Plant
mouth-serious__tail-cattail,119344,Pure,Plant
mouth-serious__tail-hatsune,67381,Pure,Plant
mouth-serious__tail-yam,380405,Pure,Plant
mouth-serious__tail-potato-leaf,33305,Pure,Plant
mouth-serious__tail-hot-butt,364325,Pure,Plant
mouth-zigzag__tail-carrot,90982,Pure,Plant
mouth-zigzag__tail-cattail,27667,Pure,Plant
mouth-zigzag__tail-hatsune,15078,Pure,Plant
mouth-zigzag__tail-yam,32374,Pure,Plant
mouth-zigzag__tail-potato-leaf,7699,Pure,Plant
mouth-zigzag__tail-hot-butt,159896,Pure,Plant
mouth-herbivore__tail-carrot,40753,Pure,Plant
mouth-herbivore__tail-cattail,7616,Pure,Plant
mouth-herbivore__tail-hatsune,5075,Pure,Plant
mouth-herbivore__tail-yam,11220,Pure,Plant
mouth-herbivore__tail-potato-leaf,3998,Pure,Plant
mouth-herbivore__tail-hot-butt,13779,Pure,Plant
mouth-silence-whisper__tail-carrot,23764,Pure,Plant
mouth-silence-whisper__tail-cattail,6728,Pure,Plant
mouth-silence-whisper__tail-hatsune,6648,Pure,Plant
mouth-silence-whisper__tail-yam,8999,Pure,Plant
mouth-silence-whisper__tail-potato-leaf,5809,Pure,Plant
mouth-silence-whisper__tail-hot-butt,8233,Pure,Plant
mouth-doubletalk__tail-swallow,3390,Pure,Bird
mouth-doubletalk__tail-feather-fan,2189,Pure,Bird
mouth-doubletalk__tail-the-last-one,9677,Pure,Bird
mouth-doubletalk__tail-cloud,1712,Pure,Bird
mouth-doubletalk__tail-granmas-fan,5645,Pure,Bird
mouth-doubletalk__tail-post-fight,98381,Pure,Bird
mouth-peace-maker__tail-swallow,6554,Pure,Bird
mouth-peace-maker__tail-feather-fan,3315,Pure,Bird
mouth-peace-maker__tail-the-last-one,32341,Pure,Bird
mouth-peace-maker__tail-cloud,1733,Pure,Bird
mouth-peace-maker__tail-granmas-fan,17756,Pure,Bird
mouth-peace-maker__tail-post-fight,20749,Pure,Bird
mouth-little-owl__tail-swallow,39133,Pure,Bird
mouth-little-owl__tail-feather-fan,14108,Pure,Bird
mouth-little-owl__tail-the-last-one,119619,Pure,Bird
mouth-little-owl__tail-cloud,5222,Pure,Bird
mouth-little-owl__tail-granmas-fan,81801,Pure,Bird
mouth-little-owl__tail-post-fight,186540,Pure,Bird
mouth-hungry-bird__tail-swallow,8013,Pure,Bird
mouth-hungry-bird__tail-feather-fan,4293,Pure,Bird
mouth-hungry-bird__tail-the-last-one,35980,Pure,Bird
mouth-hungry-bird__tail-cloud,2318,Pure,Bird
mouth-hungry-bird__tail-granmas-fan,26027,Pure,Bird
mouth-hungry-bird__tail-post-fight,14621,Pure,Bird
mouth-mosquito__tail-ant,2323,Pure,Bug
mouth-mosquito__tail-twin-tail,3420,Pure,Bug
mouth-mosquito__tail-fish-snack,4362,Pure,Bug
mouth-mosquito__tail-gravel-ant,4512,Pure,Bug
mouth-mosquito__tail-pupae,853,Pure,Bug
mouth-mosquito__tail-thorny-caterpillar,5080,Pure,Bug
mouth-cute-bunny__tail-ant,1492,Pure,Bug
mouth-cute-bunny__tail-twin-tail,8560,Pure,Bug
mouth-cute-bunny__tail-fish-snack,13414,Pure,Bug
mouth-cute-bunny__tail-gravel-ant,6797,Pure,Bug
mouth-cute-bunny__tail-pupae,1387,Pure,Bug
mouth-cute-bunny__tail-thorny-caterpillar,20600,Pure,Bug
mouth-square-teeth__tail-ant,3233,Pure,Bug
mouth-square-teeth__tail-twin-tail,2140,Pure,Bug
mouth-square-teeth__tail-fish-snack,3714,Pure,Bug
mouth-square-teeth__tail-gravel-ant,1695,Pure,Bug
mouth-square-teeth__tail-pupae,1058,Pure,Bug
mouth-square-teeth__tail-thorny-caterpillar,4600,Pure,Bug
mouth-pincer__tail-ant,5769,Pure,Bug
mouth-pincer__tail-twin-tail,18750,Pure,Bug
mouth-pincer__tail-fish-snack,102893,Pure,Bug
mouth-pincer__tail-gravel-ant,10936,Pure,Bug
mouth-pincer__tail-pupae,2377,Pure,Bug
mouth-pincer__tail-thorny-caterpillar,6471,Pure,Bug
mouth-toothless-bite__tail-wall-gecko,2903,Pure,Reptile
mouth-toothless-bite__tail-iguana,3163,Pure,Reptile
mouth-toothless-bite__tail-tiny-dino,5034,Pure,Reptile
mouth-toothless-bite__tail-snake-jar,2325,Pure,Reptile
mouth-toothless-bite__tail-gila,1632,Pure,Reptile
mouth-toothless-bite__tail-grass-snake,104436,Pure,Reptile
mouth-kotaro__tail-wall-gecko,17040,Pure,Reptile
mouth-kotaro__tail-iguana,12557,Pure,Reptile
mouth-kotaro__tail-tiny-dino,74430,Pure,Reptile
mouth-kotaro__tail-snake-jar,7242,Pure,Reptile
mouth-kotaro__tail-gila,6212,Pure,Reptile
mouth-kotaro__tail-grass-snake,6429,Pure,Reptile
mouth-razor-bite__tail-wall-gecko,5445,Pure,Reptile
mouth-razor-bite__tail-iguana,7364,Pure,Reptile
mouth-razor-bite__tail-tiny-dino,10468,Pure,Reptile
mouth-razor-bite__tail-snake-jar,4720,Pure,Reptile
mouth-razor-bite__tail-gila,2750,Pure,Reptile
mouth-razor-bite__tail-grass-snake,5902,Pure,Reptile
mouth-tiny-turtle__tail-wall-gecko,40656,Pure,Reptile
mouth-tiny-turtle__tail-iguana,28917,Pure,Reptile
mouth-tiny-turtle__tail-tiny-dino,71101,Pure,Reptile
mouth-tiny-turtle__tail-snake-jar,17422,Pure,Reptile
mouth-tiny-turtle__tail-gila,16952,Pure,Reptile
mouth-tiny-turtle__tail-grass-snake,148584,Pure,Reptile
mouth-mosquito__tail-cottontail,10620,Mix,Mech
mouth-mosquito__tail-rice,1751,Mix,Mech
mouth-mosquito__tail-shiba,2450,Mix,Mech
mouth-mosquito__tail-gerbil,855,Mix,Mech
mouth-mosquito__tail-hare,2328,Mix,Mech
mouth-mosquito__tail-nut-cracker,5233,Mix,Mech
mouth-cute-bunny__tail-cottontail,4938,Mix,Mech
mouth-cute-bunny__tail-rice,2145,Mix,Mech
mouth-cute-bunny__tail-shiba,3120,Mix,Mech
mouth-cute-bunny__tail-gerbil,1038,Mix,Mech
mouth-cute-bunny__tail-hare,3923,Mix,Mech
mouth-cute-bunny__tail-nut-cracker,6399,Mix,Mech
mouth-square-teeth__tail-cottontail,5221,Mix,Mech
mouth-square-teeth__tail-rice,1521,Mix,Mech
mouth-square-teeth__tail-shiba,2890,Mix,Mech
mouth-square-teeth__tail-gerbil,1059,Mix,Mech
mouth-square-teeth__tail-hare,2540,Mix,Mech
mouth-square-teeth__tail-nut-cracker,5622,Mix,Mech
mouth-pincer__tail-cottontail,4013,Mix,Mech
mouth-pincer__tail-rice,4295,Mix,Mech
mouth-pincer__tail-shiba,24890,Mix,Mech
mouth-pincer__tail-gerbil,1168,Mix,Mech
mouth-pincer__tail-hare,3048,Mix,Mech
mouth-pincer__tail-nut-cracker,5565,Mix,Mech
mouth-nut-cracker__tail-ant,4290,Mix,Mech
mouth-nut-cracker__tail-twin-tail,12340,Mix,Mech
mouth-nut-cracker__tail-fish-snack,5892,Mix,Mech
mouth-nut-cracker__tail-gravel-ant,4887,Mix,Mech
mouth-nut-cracker__tail-pupae,3810,Mix,Mech
mouth-nut-cracker__tail-thorny-caterpillar,7277,Mix,Mech
mouth-axie-kiss__tail-ant,1661,Mix,Mech
mouth-axie-kiss__tail-twin-tail,3450,Mix,Mech
mouth-axie-kiss__tail-fish-snack,2566,Mix,Mech
mouth-axie-kiss__tail-gravel-ant,1730,Mix,Mech
mouth-axie-kiss__tail-pupae,1194,Mix,Mech
mouth-axie-kiss__tail-thorny-caterpillar,4533,Mix,Mech
mouth-goda__tail-ant,2582,Mix,Mech
mouth-goda__tail-twin-tail,4870,Mix,Mech
mouth-goda__tail-fish-snack,3312,Mix,Mech
mouth-goda__tail-gravel-ant,2593,Mix,Mech
mouth-goda__tail-pupae,1998,Mix,Mech
mouth-goda__tail-thorny-caterpillar,4947,Mix,Mech
mouth-confident__tail-ant,3020,Mix,Mech
mouth-confident__tail-twin-tail,2980,Mix,Mech
mouth-confident__tail-fish-snack,1885,Mix,Mech
mouth-confident__tail-gravel-ant,1337,Mix,Mech
mouth-confident__tail-pupae,1117,Mix,Mech
mouth-confident__tail-thorny-caterpillar,3898,Mix,Mech
mouth-toothless-bite__tail-koi,5865,Mix,Dusk
mouth-toothless-bite__tail-nimo,9039,Mix,Dusk
mouth-toothless-bite__tail-tadpole,1395,Mix,Dusk
mouth-toothless-bite__tail-ranchu,1473,Mix,Dusk
mouth-toothless-bite__tail-navaga,2369,Mix,Dusk
mouth-toothless-bite__tail-shrimp,3170,Mix,Dusk
mouth-kotaro__tail-koi,5641,Mix,Dusk
mouth-kotaro__tail-nimo,9251,Mix,Dusk
mouth-kotaro__tail-tadpole,1545,Mix,Dusk
mouth-kotaro__tail-ranchu,3944,Mix,Dusk
mouth-kotaro__tail-navaga,2561,Mix,Dusk
mouth-kotaro__tail-shrimp,3112,Mix,Dusk
mouth-razor-bite__tail-koi,5239,Mix,Dusk
mouth-razor-bite__tail-nimo,8636,Mix,Dusk
mouth-razor-bite__tail-tadpole,1030,Mix,Dusk
mouth-razor-bite__tail-ranchu,1096,Mix,Dusk
mouth-razor-bite__tail-navaga,2113,Mix,Dusk
mouth-razor-bite__tail-shrimp,1416,Mix,Dusk
mouth-tiny-turtle__tail-koi,9324,Mix,Dusk
mouth-tiny-turtle__tail-nimo,23968,Mix,Dusk
mouth-tiny-turtle__tail-tadpole,4380,Mix,Dusk
mouth-tiny-turtle__tail-ranchu,4037,Mix,Dusk
mouth-tiny-turtle__tail-navaga,5922,Mix,Dusk
mouth-tiny-turtle__tail-shrimp,6184,Mix,Dusk
mouth-lam__tail-wall-gecko,2576,Mix,Dusk
mouth-lam__tail-iguana,2401,Mix,Dusk
mouth-lam__tail-tiny-dino,3602,Mix,Dusk
mouth-lam__tail-snake-jar,3043,Mix,Dusk
mouth-lam__tail-gila,2245,Mix,Dusk
mouth-lam__tail-grass-snake,3407,Mix,Dusk
mouth-risky-fish__tail-wall-gecko,5849,Mix,Dusk
mouth-risky-fish__tail-iguana,5703,Mix,Dusk
mouth-risky-fish__tail-tiny-dino,7397,Mix,Dusk
mouth-risky-fish__tail-snake-jar,6543,Mix,Dusk
mouth-risky-fish__tail-gila,5986,Mix,Dusk
mouth-risky-fish__tail-grass-snake,7124,Mix,Dusk
mouth-piranha__tail-wall-gecko,1973,Mix,Dusk
mouth-piranha__tail-iguana,1913,Mix,Dusk
mouth-piranha__tail-tiny-dino,2964,Mix,Dusk
mouth-piranha__tail-snake-jar,2245,Mix,Dusk
mouth-piranha__tail-gila,1651,Mix,Dusk
mouth-piranha__tail-grass-snake,3026,Mix,Dusk
mouth-catfish__tail-wall-gecko,1441,Mix,Dusk
mouth-catfish__tail-iguana,1333,Mix,Dusk
mouth-catfish__tail-tiny-dino,2406,Mix,Dusk
mouth-catfish__tail-snake-jar,1659,Mix,Dusk
mouth-catfish__tail-gila,1124,Mix,Dusk
mouth-catfish__tail-grass-snake,2021,Mix,Dusk
mouth-serious__tail-swallow,8475,Mix,Dawn
mouth-serious__tail-feather-fan,8041,Mix,Dawn
mouth-serious__tail-the-last-one,9604,Mix,Dawn
mouth-serious__tail-cloud,7143,Mix,Dawn
mouth-serious__tail-granmas-fan,9478,Mix,Dawn
mouth-serious__tail-post-fight,8214,Mix,Dawn
mouth-zigzag__tail-swallow,2477,Mix,Dawn
mouth-zigzag__tail-feather-fan,2129,Mix,Dawn
mouth-zigzag__tail-the-last-one,3513,Mix,Dawn
mouth-zigzag__tail-cloud,1741,Mix,Dawn
mouth-zigzag__tail-granmas-fan,2896,Mix,Dawn
mouth-zigzag__tail-post-fight,2923,Mix,Dawn
mouth-herbivore__tail-swallow,1401,Mix,Dawn
mouth-herbivore__tail-feather-fan,1250,Mix,Dawn
mouth-herbivore__tail-the-last-one,2429,Mix,Dawn
mouth-herbivore__tail-cloud,1043,Mix,Dawn
mouth-herbivore__tail-granmas-fan,2328,Mix,Dawn
mouth-herbivore__tail-post-fight,2223,Mix,Dawn
mouth-silence-whisper__tail-swallow,1368,Mix,Dawn
mouth-silence-whisper__tail-feather-fan,1249,Mix,Dawn
mouth-silence-whisper__tail-the-last-one,2908,Mix,Dawn
mouth-silence-whisper__tail-cloud,1429,Mix,Dawn
mouth-silence-whisper__tail-granmas-fan,2111,Mix,Dawn
mouth-silence-whisper__tail-post-fight,2079,Mix,Dawn
mouth-doubletalk__tail-carrot,9061,Mix,Dawn
mouth-doubletalk__tail-cattail,2264,Mix,Dawn
mouth-doubletalk__tail-hatsune,1689,Mix,Dawn
mouth-doubletalk__tail-yam,3451,Mix,Dawn
mouth-doubletalk__tail-potato-leaf,1379,Mix,Dawn
mouth-doubletalk__tail-hot-butt,4439,Mix,Dawn
mouth-peace-maker__tail-carrot,8230,Mix,Dawn
mouth-peace-maker__tail-cattail,2059,Mix,Dawn
mouth-peace-maker__tail-hatsune,1700,Mix,Dawn
mouth-peace-maker__tail-yam,2974,Mix,Dawn
mouth-peace-maker__tail-potato-leaf,1352,Mix,Dawn
mouth-peace-maker__tail-hot-butt,3361,Mix,Dawn
mouth-little-owl__tail-carrot,9578,Mix,Dawn
mouth-little-owl__tail-cattail,3337,Mix,Dawn
mouth-little-owl__tail-hatsune,2714,Mix,Dawn
mouth-little-owl__tail-yam,4780,Mix,Dawn
mouth-little-owl__tail-potato-leaf,2680,Mix,Dawn
mouth-little-owl__tail-hot-butt,4572,Mix,Dawn
mouth-hungry-bird__tail-carrot,8797,Mix,Dawn
mouth-hungry-bird__tail-cattail,1976,Mix,Dawn
mouth-hungry-bird__tail-hatsune,1625,Mix,Dawn
mouth-hungry-bird__tail-yam,3134,Mix,Dawn
mouth-hungry-bird__tail-potato-leaf,1631,Mix,Dawn
mouth-hungry-bird__tail-hot-butt,3484,Mix,Dawn
