Card,Type,Card_type,ATK,DEF,mana cost,Floop ability,Rarity
Yellow Gnome,Corn Fields Creatures,creature,0,30,0,Lower the Attack of the opposing creature by 4 and increase this creature's Attack by 4 (Floop: 1),Algebraic Rare
Ancient Scholar,Blue Plains Creatures,creature,3,13,2,Return a creature from the discard pile to your hand (Floop: 3),Nice
Axey,Blue Plains Creatures,creature,13,5,2,Send Building in opposing lane back to opponent's hand (Floop: 1),Nice
Blue Slimey,Blue Plains Creatures,creature,7,14,2,Heal adjacent cards with this creature's current DEF and discard (Floop: 1),Algebraic Rare
Camera Dude,Blue Plains Creatures,creature,18,12,0,Lower enemy hero's Magic Points by 2 next turn (Floop: 1),Algebraic Rare
Cool Dog,Blue Plains Creatures,creature,3,7,1,Creature in opposing lane cannot use its floop ability next turn (Floop: 1),Cool
Diamond Dan,Blue Plains Creatures,creature,1,47,5,Destroy this creature and gain 6 Magic Points this turn (Floop: 1),Algebraic Rare
Dragon Claw,Blue Plains Creatures,creature,5,15,2,Return a building from the discard pile to your hand (Floop: 2),Nice
Dragon Foot,Blue Plains Creatures,creature,5,32,4,Destroy a building in the opposing lane (Floop: 3),Very Rare
Embarrassing Bard,Blue Plains Creatures,creature,10,34,5,Choose an opposing creature. It cannot use its floop ability next turn (Floop: 2),Algebraic Rare
Fantasmo,Blue Plains Creatures,creature,15,38,5,Does 4 damage. If the defender dies it will be sent to the attacker's hand instead of the defender's discard pile (Floop: 3),Algebraic Rare
Ghost Djini,Blue Plains Creatures,creature,10,28,4,Shuffle your hand back into your deck and draw 5 cards (Floop: 6),Very Rare
Ghost Hag,Blue Plains Creatures,creature,10,28,4,Choose a friendly creature and negate all Damage Defense and Attack modifiers (Floop: 3),Very Rare
Grape Slimey,Blue Plains Creatures,creature,2,5,1,Draw 1 card and send this creature to the discard pile (Floop: 1),Cool
Heavenly Gazer,Blue Plains Creatures,creature,1,6,1,Draw 1 card (Floop: 2),Cool
Heifergeist,Blue Plains Creatures,creature,13,15,3,Negate all Damage Defense and Attack modifiers on this creature (Floop: 2),Rare
Infinite Figure,Blue Plains Creatures,creature,8,22,0,Increase enemy's flooping cost by 1 next turn (Floop: 1),Algebraic Rare
Madame Seota,Blue Plains Creatures,creature,29,19,5,Draw 3 card (Floop: 6),Algebraic Rare
Poultrygeist,Blue Plains Creatures,creature,2,6,1,Gain 2 extra Magic Points next turn (Floop: 1),Cool
Psionic Architect,Blue Plains Creatures,creature,17,8,3,Return a spell from the discard pile to your hand (Floop: 2),Rare
Punk Cat,Blue Plains Creatures,creature,8,22,3,Activate an adjacent creature's floop ability if applicable (Floop: 3),Rare
Spectre Hector,Blue Plains Creatures,creature,7,14,2,Send creature in opposing land back to opponent's hand (Floop: 2),Cool
Struzann Jinn,Blue Plains Creatures,creature,15,25,4,Send creature in opposing lane back to opponent's hand (Floop: 3),Very Rare
Temporal Wisp,Blue Plains Creatures,creature,9,17,3,Opposing creature cannot Attack on opponents next Battle Phase (Floop: 2),Rare
Timmy Magic Eyes,Blue Plains Creatures,creature,15,15,0,Lower the cost of flooping creatures by 1 this turn (Floop: 1),Algebraic Rare
Woadic Chief,Blue Plains Creatures,creature,18,30,5,No creature or building may be summoned on the opposing lane next turn (Floop: 3),Algebraic Rare
Woadic Marauder,Blue Plains Creatures,creature,22,12,4,Choose an opposing building and send it back to your opponent's hand (Floop: 1),Very Rare
Woadic Time Walker,Blue Plains Creatures,creature,5,5,1,Damage done to opposing creature is transferred to hero (Floop: 3),Cool
X-Large Spirit Soldier,Blue Plains Creatures,creature,5,40,5,Return this creature to your hand and draw 1 card (Floop: 1),Algebraic Rare
Bald Man's Throne,Useless Swamp Creatures,creature,-,-,-,Deal 5 damage to the opposing creature for every creature you flooped this turn,Algebraic Rare
Baldferatu,Useless Swamp Creatures,creature,-,-,-,Deals %200 of the damage it received last turn to creature in opposing lane,Rare
Banshe Princess,Useless Swamp Creatures,creature,-,-,-,Deal 4 damage to the creature in opposing lane,Cool (Golden Algebraic Rare)
Banshe Queen,Useless Swamp Creatures,creature,-,-,-,Deal 4 damage to all opposing creatures,Rare (Golden Algebraic Rare)
Bog BanShe Angel,Useless Swamp Creatures,creature,-,-,-,Deal 4 damage for each card in your hand to the creature in opposing lane,Very Rare
Bog Bum,Useless Swamp Creatures,creature,-,-,-,Deal 5 damage to the creature in opposing lane,Nice
Bog Frog Bomb,Useless Swamp Creatures,creature,-,-,-,Deal 7 damage to all opposing creatures,Very Rare
Chest Burster,Useless Swamp Creatures,creature,-,-,-,Deal 2 damage to the opposing hero for every card in your hand,Very Rare
Dark Angel,Useless Swamp Creatures,creature,-,-,-,Deal 5 damage to all opposing creatures,Very Rare
Davey Bear,Useless Swamp Creatures,creature,-,-,-,Deal 5 damage to the opposing creature and hero,Algebraic Rare
Dr. Death,Useless Swamp Creatures,creature,-,-,-,Deal 7 damage to the creature in the opposing lane and heal this creature 7 points,Algebraic Rare
Eye Guy,Useless Swamp Creatures,creature,-,-,-,Deal 3 damage to opposing hero for every creature you flooped this turn,Algebraic Rare
Fly Swatter,Useless Swamp Creatures,creature,-,-,-,Deal 5 damage to any opposing corn creature,Rare
Ghost Tree,Useless Swamp Creatures,creature,-,-,-,For every card in your Discard Pile deal 3 damage to the creature in opposing lane,Very Rare
Gray Eyebat,Useless Swamp Creatures,creature,-,-,-,Deal 2 damage to any opposing creature,Cool
Green Mermaid,Useless Swamp Creatures,creature,-,-,-,Deal 3 damage for each of your buildings to the creature in opposing lane,Rare
Green Merman,Useless Swamp Creatures,creature,-,-,-,Deal 3 damage for each enemy building to the creature in opposing lane,Nice
Herculeye,Useless Swamp Creatures,creature,-,-,-,Deal 2 damage for each card in your hand to the creature in opposing lane,Nice
Hot Eyebat,Useless Swamp Creatures,creature,-,-,-,Deal 4 damage to any opposing creature,Nice
Immortal Maize Walker,Useless Swamp Creatures,creature,-,-,-,Deal 33 damage to any opposing Corn creature,Algebraic Rare
Mace Stump,Useless Swamp Creatures,creature,-,-,-,Deal 3 damage to the creature in opposing lane,Cool
Mama Spider,Useless Swamp Creatures,creature,-,-,-,For every 2 cards in your discard pile deal 4 damage to the creature in opposing lane,Very Rare
Man Witch,Useless Swamp Creatures,creature,-,-,-,Deal 13 damage to the creature in opposing lane,Rare
Marky Mark,Useless Swamp Creatures,creature,-,-,-,Deal 3 damage to the opposing creature for each Rarity Star it has,Algebraic Rare
Orange Slimey,Useless Swamp Creatures,creature,-,-,-,Deal 4 damage to the creature in opposing lane and discard this creature,Cool
Pea Soup Barfer,Useless Swamp Creatures,creature,-,-,-,Lower the defense of adjacent creatures by 2 and increase this creature's attack by 5,Algebraic Rare
Pete Bog,Useless Swamp Creatures,creature,-,-,-,Deal 3 damage for each card in your hand to the creature in opposing lane,Cool
Po the Wizard,Useless Swamp Creatures,creature,-,-,-,Deal 15 damage to all opposing creatures,Algebraic Rare
Rainbow Barfer,Useless Swamp Creatures,creature,-,-,-,Deal 5 damage to the creature in opposing lane for each of your different landscapes,Algebraic Rare
Record Thug,Useless Swamp Creatures,creature,-,-,-,Deal damage to opposing creature equal to damage on this creature,Rare
Red Eyeling,Useless Swamp Creatures,creature,-,-,-,Deal 4 damage to creature in opposing lane and its adjacent creatures,Rare
Snappy Dresser,Useless Swamp Creatures,creature,-,-,-,Deal 2 damage to the creature in the opposing lane for each of your different landscapes,Nice
Steak Chop,Useless Swamp Creatures,creature,-,-,-,Deal 2 damage to the opposing creature for each of your opponent's discarded creatures,Very Rare
Teeth Leaf,Useless Swamp Creatures,creature,-,-,-,Deal 2 damage to the opposing hero,Cool
Tree of Underneath,Useless Swamp Creatures,creature,-,-,-,Deal 2 damage to all opposing creatures and heal all of your creatures 4 points,Rare
Unicylops,Useless Swamp Creatures,creature,-,-,-,Deal 10 damage to all opposing creatures,Algebraic Rare
Wandering Bald Man,Nice Lands Creatures,creature,-,-,-,Deal 2 damage to the creature in opposing lane,Cool
Angel Heart,Nice Lands Creatures,creature,-,-,-,Choose a creature and heal it 3 points,Cool
Apple Tree,Nice Lands Creatures,creature,-,-,-,Fully heal all of your creatures and destroy this creature,Algebraic Rare
Bad Rose,Nice Lands Creatures,creature,-,-,-,Return all cards draw 5 cards and gain 2 extra Magic Points next turn,Rare
Blueberry Djini,Nice Lands Creatures,creature,-,-,-,Heal your hero 2 points,Cool
Candyr,Nice Lands Creatures,creature,-,-,-,Increase the critical defense area by %200 percent on all of your creatures next battle phase,Rare
Cottonpult,Nice Lands Creatures,creature,-,-,-,Deal 7 damage to the creature in opposing lane and heal this creature 7 points,Algebraic Rare
Cottonsaurus Rex,Nice Lands Creatures,creature,-,-,-,Heal your hero equal to this creature's attack,Algebraic Rare
Detective Bobby,Nice Lands Creatures,creature,-,-,-,Adjacent creatures heal 6 points,Rare
Dog Boy,Nice Lands Creatures,creature,-,-,-,Deal 5 damage to the creature in opposing lane and heal this creature 5 points,Rare
Dr. Stuffenstein,Nice Lands Creatures,creature,-,-,-,Choose one of your creatures and heal it 4 points for each of your buildings,Very Rare
Dr Phillip Flufferson,Nice Lands Creatures,creature,-,-,-,Heals adjacent creatures 5 points,Cool
Fairy Shepard,Nice Lands Creatures,creature,-,-,-,Choose a creature and heal it and its adjacent creatures 3 points,Cool
Farmer Tom,Nice Lands Creatures,creature,-,-,-,Choose a creature and heal it 6 points for each of your buildings,Very Rare
Fat Goat,Nice Lands Creatures,creature,-,-,-,Heals adjacent creatures 4 points,Nice
Fatapillar,Nice Lands Creatures,creature,-,-,-,Choose a creature and heal it 5 points for every creature you flooped this turn,Algebraic Rare
Fluffantry,Nice Lands Creatures,creature,-,-,-,Heal your hero 2 points for each of your creatures on the field,Algebraic Rare
Fluffapillar,Nice Lands Creatures,creature,-,-,-,Heals adjacent creatures 3 points,Cool
Furious Hen,Nice Lands Creatures,creature,-,-,-,Deal 3 damage to the creature in opposing lane and heal this creature 6 points,Rare
Furious Rooster,Nice Lands Creatures,creature,-,-,-,Deal 10 damage to the creature in opposing lane and heal this creature 6 points,Algebraic Rare
Ghost Bull,Nice Lands Creatures,creature,-,-,-,Deal 20 damage to the creature in opposing lane and heal this creature 28 points,Algebraic Rare
Good King Wonderful,Nice Lands Creatures,creature,-,-,-,Choose one of your creatures and heal all damage from it,Algebraic Rare
Hate Bird,Nice Lands Creatures,creature,-,-,-,Heals this creature with the amount of the opposing creature Attack,Algebraic Rare
Lt. Mushroom,Nice Lands Creatures,creature,-,-,-,Choose an opposing creature. Deal 14 damage to it and heal this creature 25 points,Very Rare
Mother Fluff Bucket,Nice Lands Creatures,creature,-,-,-,Heal your hero 5 points,Algebraic Rare
Music Mallard,Nice Lands Creatures,creature,-,-,-,Heal this creature and adjacent creatures 5 points,Nice
Nice Bird,Nice Lands Creatures,creature,-,-,-,Sacrifice and heal adjacent cards for 20 HP each,Algebraic Rare
Nicelands Cutie,Nice Lands Creatures,creature,-,-,-,Heal your hero 3 points for every creature you flooped this turn,Algebraic Rare
Nicelands Eye Bat,Nice Lands Creatures,creature,-,-,-,Choose a creature and heal it 4 points for every card in your hand,Nice
Papercut Tiger,Nice Lands Creatures,creature,-,-,-,Raise this creature attack by 2 and heal this creature 2 points,Nice
Sack O' Pain,Nice Lands Creatures,creature,-,-,-,Heals adjacent creatures equal to the damage on this creature,Very Rare
Sgt. Mushroom,Nice Lands Creatures,creature,-,-,-,Choose an opposing creature. Deal 4 damage to it and heal this creature 6 points,Very Rare
Snake Mint,Nice Lands Creatures,creature,-,-,-,Deal 2 damage to the creature in opposing lane and heal this creature 4 points,Nice
Snowball,Nice Lands Creatures,creature,-,-,-,Raise this creature's attack by the number of times you have flooped this creature,Algebraic Rare
Snuggle Tree,Nice Lands Creatures,creature,-,-,-,Heals this creature and adjacent creatures 4 points,Nice
Soft Eyeling,Nice Lands Creatures,creature,-,-,-,Choose a creature and heal it 3 points for each of your different landscapes,Cool
The Cow,Nice Lands Creatures,creature,-,-,-,Heal all of your creatures 5 points,Rare
Travelin' Wizard,Nice Lands Creatures,creature,-,-,-,Heal 12 damage from a random creature on the field (including opponents),Very Rare
Well Dressed Wolf,Nice Lands Creatures,creature,-,-,-,Heal all damage from this creature,Rare
Beach Mum,Sandy Lands Creatures,creature,-,-,-,Gain +2 Attack and +3 Defense,Nice
Black Cat,Sandy Lands Creatures,creature,-,-,-,Choose an opposing creature and lower its Defense by 30,Algebraic Rare
Burning Hand,Sandy Lands Creatures,creature,-,-,-,Lower the defense of the creature in the opposite lane by 2,Cool
Cactus Thug,Sandy Lands Creatures,creature,-,-,-,Deal damage to creature in opposing lane equal to this creature's defense,Algebraic Rare
Count Cactus,Sandy Lands Creatures,creature,-,-,-,Increase the critical defense area on all of your creatures next battle phase by %150,Algebraic Rare
Fummy,Sandy Lands Creatures,creature,-,-,-,This creature and adjacent creatures gain +6 Defense,Very Rare
Giant Mummy Hand,Sandy Lands Creatures,creature,-,-,-,This creature and adjacent creatures gain +10 Defense,Very Rare
Green Cactaball,Sandy Lands Creatures,creature,-,-,-,Gain +2 Defense,Cool
Green Party Ogre,Sandy Lands Creatures,creature,-,-,-,Choose a friendly creature and raise its defense by 4 for every creature you flooped this turn,Algebraic Rare
Lady Mary,Sandy Lands Creatures,creature,-,-,-,Raise the Defense of all of your creatures by 2 for each building you control,Very Rare
Lime Slimey,Sandy Lands Creatures,creature,-,-,-,This creature and adjacent creatures gain +3 Defense,Nice
Lost Golem,Sandy Lands Creatures,creature,-,-,-,Gain +8 Defense,Algebraic Rare
Mayonaise Angel,Sandy Lands Creatures,creature,-,-,-,Choose a creature and give it +4 Defense,Nice
Ms. Mummy,Sandy Lands Creatures,creature,-,-,-,Adjacent creatures gain +3 Defense,Cool
Mud Angel,Sandy Lands Creatures,creature,-,-,-,Choose an opposing creature and lower its stats,Rare
Pieclops,Sandy Lands Creatures,creature,-,-,-,Lower the Defense of all opposing creatures by 5,Algebraic Rare
Prickle,Sandy Lands Creatures,creature,-,-,-,Deal 5 damage to the opposing creature and Hero,Rare
Sandbacho,Sandy Lands Creatures,creature,-,-,-,This creature and adjacent creatures gain +4 Defense,Cool
Sand Angel,Sandy Lands Creatures,creature,-,-,-,Choose a creature and give it +2 Defense,Cool
Sand Eyebat,Sandy Lands Creatures,creature,-,-,-,Choose an opposing creature and lower its Defense by 2,Cool
Sand Jackal,Sandy Lands Creatures,creature,-,-,-,Lower the Defense of the opposing creature equal to this creature's Attack,Rare
Sand Knight,Sandy Lands Creatures,creature,-,-,-,All of your creatures gain +5 Defense,Very Rare
Sandasaurus Rex,Sandy Lands Creatures,creature,-,-,-,Choose an enemy creature and lower its defense by 5 for every creature you flooped this turn,Algebraic Rare
Sandfoot,Sandy Lands Creatures,creature,-,-,-,Gain +4 Defense for each of your creatures,Rare
Sandsnake,Sandy Lands Creatures,creature,-,-,-,Lower the Defense of the creature in the opposite lane by 5,Nice
Sandwitch,Sandy Lands Creatures,creature,-,-,-,+9 Defense to a random creature on the field including opponents,Very Rare
Sandy,Sandy Lands Creatures,creature,-,-,-,Gain +3 Attack and +7 Defense,Algebraic Rare
Wall of Chocolate,Sandy Lands Creatures,creature,-,-,-,Heal all creatures for 5 and take 2 damage in return,Algebraic Rare
Wall of Sand,Sandy Lands Creatures,creature,-,-,-,Adjacent creatures gain +4 Defense,Rare
Big Foot,Rainbow Creatures,creature,-,-,-,Deal 4 damage to opposing creature and its adjacent creatures,Rare
Brain Gooey,Rainbow Creatures,creature,-,-,-,Lower the attack of all enemy creatures by 12 and destroy this creature,Algebraic Rare
Chad Bear,Rainbow Creatures,creature,-,-,-,+2 Attack,Nice
Detective Sally,Rainbow Creatures,creature,-,-,-,This creature and adjacent creatures gain +6 Defense,Very Rare
Drooling Dude,Rainbow Creatures,creature,-,-,-,Gain +7 Attack and +3 Defense,Algebraic Rare
Earl,Rainbow Creatures,creature,-,-,-,Adjacent creatures gain +3 Attack,Rare
Evil Eye,Rainbow Creatures,creature,-,-,-,Lower the Attack of the creature in the opposing lane by 4,Nice
Fisher Fish,Rainbow Creatures,creature,-,-,-,Select a random card from the Discard Pile and put it in your hand,Algebraic Rare
Freezy J.,Rainbow Creatures,creature,-,-,-,Gain +4 Defense,Nice
Furious Chick,Rainbow Creatures,creature,-,-,-,Adjacent creatures gain +3 Attack,Rare
Future Scholar,Rainbow Creatures,creature,-,-,-,Gain 3 extra Magic Points next turn,Rare
Ghost Ninja,Rainbow Creatures,creature,-,-,-,Deal 4 damage to the creature in opposing lane and heal this creature 5 points,Rare
Green Snakey,Rainbow Creatures,creature,-,-,-,Lower the attack of the creature in opposing lane by 2 for each of your opponent's creatures,Nice
Ice Paladin,Rainbow Creatures,creature,-,-,-,Adjacent creatures gain +5 Defense,Rare
Improved Sugar Imp,Rainbow Creatures,creature,-,-,-,Heals adjacent creatures 2 points,Cool
Mouthball,Rainbow Creatures,creature,-,-,-,Creature in opposing lane cannot use its floop ability next turn,Cool
Nice Ice Baby,Rainbow Creatures,creature,-,-,-,Creature in opposing lane cannot attack next Battle Phase,Cool
Ordinary Ninja,Rainbow Creatures,creature,-,-,-,Deal 3 damage to the creature in opposing lane,Cool
Paladim,Rainbow Creatures,creature,-,-,-,Deal 5 damage to the creature in the opposing lane and damage this creature for 2 Damage,Algebraic Rare
Peach Djini,Rainbow Creatures,creature,-,-,-,Choose a creature and heal it 4 points,Nice
Phyllis,Rainbow Creatures,creature,-,-,-,This creature and adjacent creatures gain +4 Attack,Very Rare
Polterclops,Rainbow Creatures,creature,-,-,-,Return this creature to your hand and draw 4 card,Very Rare
Porcelain Guardian,Rainbow Creatures,creature,-,-,-,Inflict 2 damage on this creature and lower the Defense of the opposing creature by 10,Algebraic Rare
Quadurai,Rainbow Creatures,creature,-,-,-,Deal 8 Damage to the creature in opposing lane,Very Rare
Rainbow Gnome,Rainbow Creatures,creature,-,-,-,Lower the Attack of the opposing creature by half and raise this creature's Attack also reduce its Defense by that amount,Algebraic Rare
Snowy McSnow,Rainbow Creatures,creature,-,-,-,+1 Attack,Cool
The Mariachi,Rainbow Creatures,creature,-,-,-,All of your creatures gain +4 Attack,Algebraic Rare
The Pickler,Rainbow Creatures,creature,-,-,-,Lower the Defense of all opposing creatures by 5,Very Rare
The Pig,Rainbow Creatures,creature,-,-,-,Decrease the Attack of all opposing Corn creatures by 1,Cool
Travelin' Skeleton,Rainbow Creatures,creature,-,-,-,Deal 4 damage to a random creature including your own,Cool
Unicycle Knight,Rainbow Creatures,creature,-,-,-,Adjacent creatures gain +13 Defense,Algebraic Rare
White Ninja,Rainbow Creatures,creature,-,-,-,Deal 3 damage to the creature in opposing lane and heal this creature 3 points,Nice
Ancient Psychic Tandem Blast,,spell,-,-,-,Destroy one of your creatures and an opposing creature. Also draw 1 card,Very Rare
Banana Butt,,spell,-,-,-,Destroy one of your creatures and draw 1 card,Very Rare
BlackHole Pendant,,spell,-,-,-,Reduce the Defense of ALL creatures by %50,Algebraic Rare
Blood Transfusion,,spell,-,-,-,Deal 5 damage to the opposing Leader and heal your Leader 5 points,Rare
Bone Wand,,spell,-,-,-,Choose a Useless Swamp creature and attack the opposing creature in its lane,Nice
Brief Power,,spell,-,-,1,Every card cast this turn costs 1 less Magic Point,Algebraic Rare
Bubblegum Butt,,spell,-,-,-,Draw 3 cards,Rare
Cerebral Bloodstorm,,spell,-,-,3,Choose an opposing creature and deal damage equal to its own attack,Cool
Clairvoyant Daggerstorm,,spell,-,-,-,Choose an opposing creature and double the amount of damage on it,Rare
Corn Scepter,,spell,-,-,-,Choose a Corn creature and attack the opposing creature in its lane,Nice
Cough Syrup,,spell,-,-,-,Choose one of your creatures and switch its Attack and Defense values,Rare
Crystal Ball,,spell,-,-,1,Shuffle your hand back into your deck and draw 5 new cards,Cool
Dark Portal,,spell,-,-,2,Choose an opposing building and move it to an empty lane,Rare
Door of Strength,,spell,-,-,-,Opponent cannot summon creatures next turn,Algebraic Rare
Falling Star,,spell,-,-,-,Opponent gets 2 less Magic Points next turn,Rare
Field of Nightmares,,spell,-,-,-,Choose an opposing creature. It cannot use its floop ability next turn,Rare
Fountain of Forgiveness,,spell,-,-,-,Choose one of your damaged creatures and heal it equal to its Attack,Nice
Grape Butt,,spell,-,-,-,Destroy one of your Buildings and draw 1 card,Nice
Hot Dog Rain,,spell,-,-,-,Opponent cannot summon Buildings next turn,Rare
Incredible Egg,,spell,-,-,-,Put a random creature from your deck into your hand,Algebraic Rare
Kung Fu Power,,spell,-,-,2,Destroy all enemy creatures Rarity of 4 or higher,Algebraic Rare
Lonely Hearts,,spell,-,-,-,Destroys the lone creature on the opponent side of the board,Algebraic Rare
Magic Hot Dog Pie,,spell,-,-,-,Deal 10 damage to the opposing Leader and heal your Leader 10 points,Algebraic Rare
Pie Storm,,spell,-,-,-,Heal all creatures on the field (including opponents),Very Rare
Portal to Nowhere,,spell,-,-,-,Return all of your creatures on the field to your hand,Very Rare
Psychic Tempest,,spell,-,-,-,Opponent cannot cast spells next turn,Nice
Puma Claw,,spell,-,-,-,Choose a Blue Plains creature and attack the opposing creature in its lane,Nice
Scroll of Bad Breath,,spell,-,-,2,Return a Spell card from the Discard Pile to your hand,Algebraic Rare
Scroll of Fresh Breath,,spell,-,-,-,Return a Building card from the Discard Pile to your hand,Nice
Skull Juice,,spell,-,-,-,Choose one of your opponent's creatures and switch its Attack and Defense values,Algebraic Rare
Snake Eye Ring,,spell,-,-,-,Draw 1 card for each of your empty lanes,Very Rare
Spirit Torch,,spell,-,-,-,Choose an opposing lane. No creature or building may be summoned on this lane next turn,Very Rare
Strawberry Butt,,spell,-,-,-,Draw 2 cards,Cool
Subliminal Strength,,spell,-,-,-,Destroy all enemy creatures Rarity of 3 or lower,Algebraic Rare
Super Hug,,spell,-,-,-,Choose a Nicelands creature and attack the opposing creature in its lane,Nice
Tax Reduction,,spell,-,-,1,All of your creatures FLOOP abilities cost 0 Magic Points this turn,Algebraic Rare
Teleport,,spell,-,-,1,Choose a creature and return it to your hand,Cool
Throne of Doom,,spell,-,-,-,Destroy any of your Creatures and gain 4 Magic Points,Very Rare
Throne of Gloom,,spell,-,-,-,Destroy any of your buildings and gain 4 Magic Points,Very Rare
Tome of Ankhs,,spell,-,-,-,Choose a Sandy Lands creature and attack the opposing creature in its lane,Nice
UFO Abduction,,spell,-,-,-,Choose one of your buildings and move it to one of your empty lanes,Cool
Ultimate Magic Hands,,spell,-,-,-,Choose an opposing creature and send it back to your opponent's hand,Algebraic Rare
Unempty Coffin,,spell,-,-,-,Return a creature from the Discard Pile to your hand,Very Rare
Volcano,,spell,-,-,3,Choose a lane and destroy all Buildings and Creatures on it. (Players and Opponents),Cool
Witch Way,,spell,-,-,-,Gain 1 Magic Point for every different landscape of the field,Rare
Wizard Migraine,,spell,-,-,-,Discard your hand and gain 4 Magic Points,Cool
Wizard Rawk,,spell,-,-,-,Choose a creature and give it Attack equal to how much damage it has taken,Very Rare
Woad Blood,,spell,-,-,-,Choose one of your creatures and heal all damage,Cool
ZaZo's Magic Seeds,,spell,-,-,-,Gain 1 Magic Point for each of your creatures on the field,Algebraic Rare
Astral Fortress,,building,-,-,-,Creature is this lane gets +4 Defense,Cool
Autoplucker,,building,-,-,-,Deals 5 Damage to the opposing hero when a creature in this lane is destroyed,Algebraic Rare
Candy Igloo,,building,-,-,-,Creatures in this lane swap Attack and Defense,Algebraic Rare
Cardboard Mansion,,building,-,-,-,Creature in this lane gets +2 Defense for each of your creatures on the field,Nice
Cave of Solitude,,building,-,-,-,Creature in this lane gets +5 Attack and +5 Defense for each of your empty lanes,Very Rare
Comfy Cave,,building,-,-,-,Creature in this lane heals 2 damage for each creature you control at start of turn,Rare
Corn Castle,,building,-,-,-,Creature in this lane gets +2 Attack for each of your creatures on the field,Nice
Corn Dome,,building,-,12,2,Creature in this lane gets +3 Attack,Cool
Corn Parthenon,,building,-,-,-,Creature in this lane gets +2 Attack for each of your different landscapes,Very Rare
Fruit Cake,,building,-,-,-,Creature in this lane gets +9 Defense,Algebraic Rare
Funeral Home,,building,-,-,-,When creature in this lane is destroyed return it to your hand and send this building to the Discard Pile,Nice
Ghost Castle,,building,-,-,-,Creature in this lane gets +8 Attack and +8 Defense,Algebraic Rare
Haunted Windmill,,building,-,-,-,Gain 1 Magic Point When Creature in this lane uses a floop ability,Very Rare
Mausoleum,,building,-,-,-,When creature in this lane is destroyed return it to your hand and send this building to The Discard Pile,Algebraic Rare
