part_id,part_type,class,part_name,floop_id,floop_name,activation_mana_cost,atk_bias_shift,def_bias_shift,effect_type,base_value,scaling_formula,conditional_rule,target_scope,is_secret,secret_combo_req,archetype_tag,card_art_asset_id
bd_tail_03,tail,bird,The Last One,flp_bd_tail_03,Risky Feather,2,15,-15,BURST_DAMAGE,30,BASE + (AXIE_MANA - 1) * 15,NONE,OPPOSING_LANE,0,NONE,Swamp_Backdoor,art_flp_the_last_one
bd_tail_04,tail,bird,Cloud,flp_bd_tail_04,Puffy Feather,1,0,0,SWAP_LANE,0,NONE,NONE,SELF,0,NONE,Swamp_Backdoor,art_flp_cloud
bd_tail_05,tail,bird,Granma's Fan,flp_bd_tail_05,Cool Breeze,1,-5,5,DEBUFF_ATK,8,BASE + (AXIE_MANA - 1) * 4,NONE,OPPOSING_LANE,0,NONE,Swamp_Backdoor,art_flp_granmas_fan
bd_tail_06,tail,bird,Post Fight,flp_bd_tail_06,All-out Shot,2,20,-20,BURST_DAMAGE,35,BASE + (AXIE_MANA - 1) * 18,NONE,OPPOSING_HERO,0,NONE,Swamp_Backdoor,art_flp_post_fight
bg_tail_01,tail,bug,Ant,flp_bg_tail_01,Chemical Warfare,1,0,0,DISCARD,8,BASE + (AXIE_MANA - 1) * 4,NONE,OPPOSING_LANE,0,NONE,Swamp_Disruption,art_flp_ant
bg_tail_02,tail,bug,Twin Needle,flp_bg_tail_02,Double Stab,2,10,-10,DAMAGE,24,BASE + (AXIE_MANA - 1) * 12,NONE,OPPOSING_LANE,0,NONE,Swamp_Disruption,art_flp_twin_needle
bg_tail_03,tail,bug,Fish Snack,flp_bg_tail_03,Anesthetic Bait,1,-5,5,STUN,1,NONE,TARGET_MANA <= AXIE_MANA,OPPOSING_LANE,0,NONE,Swamp_Disruption,art_flp_fish_snack
bg_tail_04,tail,bug,Gravel Ant,flp_bg_tail_04,Sand Trap,2,-5,5,DISABLE_FLOP,1,NONE,NONE,OPPOSING_LANE,0,NONE,Swamp_Disruption,art_flp_gravel_ant
bg_tail_05,tail,bug,Pupae,flp_bg_tail_05,Metamorphosis,1,-10,10,SHIELD,20,BASE + (AXIE_MANA - 1) * 10,NONE,SELF,0,NONE,Swamp_Disruption,art_flp_pupae
bg_tail_06,tail,bug,Thorny Caterpillar,flp_bg_tail_06,Allergic React,2,0,0,DAMAGE,22,BASE + (AXIE_MANA - 1) * 10,NONE,OPPOSING_LANE,0,NONE,Swamp_Disruption,art_flp_thorny_caterpillar
rp_tail_01,tail,reptile,Wall Gecko,flp_rp_tail_01,Critical Escape,1,-5,5,SHIELD,18,BASE + (AXIE_MANA - 1) * 8,NONE,SELF,0,NONE,Sandy_Attrition,art_flp_wall_gecko
rp_tail_02,tail,reptile,Iguana,flp_rp_tail_02,Scale Dart,1,0,0,STEAL_MANA,1,NONE,TARGET_MANA <= AXIE_MANA,OPPOSING_LANE,0,NONE,Sandy_Attrition,art_flp_iguana
rp_tail_03,tail,reptile,Tiny Dino,flp_rp_tail_03,Tiny Stomp,2,5,-5,DAMAGE,20,BASE + (AXIE_MANA - 1) * 10,NONE,OPPOSING_LANE,0,NONE,Sandy_Attrition,art_flp_tiny_dino
rp_tail_04,tail,reptile,Snake Jar,flp_rp_tail_04,Jar Armor,2,-10,10,SHIELD,26,BASE + (AXIE_MANA - 1) * 12,NONE,SELF,0,NONE,Sandy_Attrition,art_flp_snake_jar
rp_tail_05,tail,reptile,Gila,flp_rp_tail_05,Neurotoxin,2,-5,5,POISON,3,BASE + (AXIE_MANA - 1) * 1,NONE,OPPOSING_LANE,0,NONE,Sandy_Attrition,art_flp_gila
rp_tail_06,tail,reptile,Grass Snake,flp_rp_tail_06,Venom Spray,1,0,0,POISON,2,NONE,NONE,OPPOSING_LANE,0,NONE,Sandy_Attrition,art_flp_grass_snake
sec_01,secret_combo,beast,Pure Beast Secret Combo,flp_sec_01,Savage Rampage,2,20,-20,DAMAGE,40,BASE + (AXIE_MANA - 1) * 25,NONE,OPPOSING_LANE,1,b_mouth_01+b_tail_01,Corn_Aggro,art_sec_savage_rampage
sec_02,secret_combo,aqua,Pure Aqua Secret Combo,flp_sec_02,Tidal Vortex,1,-10,10,BOUNCE,1,NONE,TARGET_MANA <= AXIE_MANA,OPPOSING_LANE,1,aq_mouth_01+aq_tail_01,Blue_Tempo,art_sec_tidal_vortex
sec_03,secret_combo,plant,Pure Plant Secret Combo,flp_sec_03,Yggdrasil Fortress,2,-25,25,SHIELD,50,BASE + (AXIE_MANA - 1) * 30,NONE,SELF,1,pl_mouth_01+pl_tail_01,Nice_Sustain,art_sec_yggdrasil_fortress
sec_04,secret_combo,reptile,Pure Reptile Secret Combo,flp_sec_04,Gorgon Gaze,1,-15,15,DEBUFF_ATK,20,BASE + (AXIE_MANA - 1) * 10,TARGET_MANA <= AXIE_MANA,OPPOSING_LANE,1,rp_mouth_01+rp_tail_01,Sandy_Attrition,art_sec_gorgon_gaze
sec_05,secret_combo,bug,Pure Bug Secret Combo,flp_sec_05,Swarm Havoc,1,10,-10,DISCARD,15,BASE + (AXIE_MANA - 1) * 10,NONE,ANY_LANE_ENEMY,1,bg_mouth_01+bg_tail_01,Swamp_Disruption,art_sec_swarm_havoc
sec_06,secret_combo,bird,Pure Bird Secret Combo,flp_sec_06,Celestial Dive,2,30,-30,BURST_DAMAGE,45,BASE + (AXIE_MANA - 1) * 20,NONE,OPPOSING_HERO,1,bd_mouth_01+bd_tail_01,Swamp_Backdoor,art_sec_celestial_dive
sec_07,secret_combo,mech,Hybrid Beast Bug Secret Combo,flp_sec_07,Primal Ravage,2,15,-15,DAMAGE,35,BASE + (AXIE_MANA - 1) * 20,NONE,OPPOSING_LANE,1,b_mouth_01+bg_tail_01,Melee_Carnage,art_sec_primal_ravage
sec_08,secret_combo,mech,Hybrid Bug Beast Secret Combo,flp_sec_08,Parasitic Frenzy,1,10,-10,BUFF_ATK,20,BASE + (AXIE_MANA - 1) * 10,NONE,SELF,1,bg_mouth_01+b_tail_01,Disruptive_Aggro,art_sec_parasitic_frenzy
sec_09,secret_combo,dusk,Hybrid Plant Reptile Secret Combo,flp_sec_09,Thorny Brambles,1,-20,20,THORNS_BUFF,100,NONE,NONE,SELF,1,pl_mouth_01+rp_tail_01,Control_Spikes,art_sec_thorny_brambles
sec_10,secret_combo,dusk,Hybrid Reptile Plant Secret Combo,flp_sec_10,Noxious Spores,2,-10,10,POISON,3,BASE + (AXIE_MANA - 1) * 1,NONE,OPPOSING_LANE,1,rp_mouth_01+pl_tail_01,Control_Attrition,art_sec_noxious_spores
sec_11,secret_combo,dawn,Hybrid Aqua Bird Secret Combo,flp_sec_11,Squall Ambush,1,0,0,SWAP_LANE,0,NONE,NONE,SELF,1,aq_mouth_01+bd_tail_01,Tempo_Speed,art_sec_squall_ambush
sec_12,secret_combo,dawn,Hybrid Bird Aqua Secret Combo,flp_sec_12,Hydro Falcon,2,15,-15,DAMAGE,30,BASE + (AXIE_MANA - 1) * 15,NONE,OPPOSING_LANE,1,bd_mouth_01+aq_tail_01,Evasive_Strike,art_sec_hydro_falcon
