structure_id,name,landscape,mana_cost,base_hp,passive_effect_type,effect_value,scaling_formula,activation_trigger,target_scope,lore_description,card_art_asset_id
str_17,Palace of Bone,useless_swamp,2,14,DAMAGE_TRIGGER,5,NONE,ON_SUMMON,LANE_UNIT,Deal 5 damage to the opposing creature when a new creature is placed in this lane,art_str_palace_of_bone
str_18,Puffy Castle,nice_lands,2,20,HEAL_TRIGGER,5,NONE,ON_DESTROY,HERO,Heal 5 damage from your hero when a creature in this lane is destroyed,art_str_puffy_castle
str_19,Pyramidia,sandy_lands,2,18,BUFF_DEF,2,SCALING_COUNT,PASSIVE,LANE_UNIT,Creature in this lane gets +2 Defense for every card in your hand,art_str_pyramidia
str_20,Sand Castle,sandy_lands,2,16,BUFF_DEF,4,NONE,PASSIVE,LANE_UNIT,Creature in this lane gets +4 Attack and +4 Defense,art_str_sand_castle
str_21,Sand Pyramid,sandy_lands,2,15,HEAL_TRIGGER,5,NONE,PASSIVE,LANE_UNIT,Creature in this lane heals 5 damage when it destroys a creature,art_str_sand_pyramid
str_22,Sand Sphinx,sandy_lands,3,25,BUFF_DEF,5,NONE,PASSIVE,LANE_UNIT,Creature in this lane takes 5 less damage when attacked,art_str_sand_sphinx
str_23,School House,nice_lands,2,18,BUFF_DEF,5,NONE,ON_FLOOP,LANE_UNIT,Your creature in this lane gets +5 Defense when it uses a floop ability,art_str_school_house
str_24,Shadow Pyramid,rainbow,3,22,UTILITY,1,NONE,PASSIVE,LANE_UNIT,Enemy may only place creatures Rarity of 3 or lower into this lane,art_str_shadow_pyramid
str_25,Silo of Truth,corn_fields,2,15,BUFF_ATK,2,SCALING_COUNT,PASSIVE,LANE_UNIT,Creature in this lane gets +2 Attack for every card in your opponent's hand,art_str_silo_of_truth
str_26,Spirit Tower,useless_swamp,2,16,DAMAGE_TRIGGER,5,NONE,ON_SUMMON,HERO,Deal 5 damage to the opposing hero when a new creature is placed in this lane,art_str_spirit_tower
str_27,Stonehenge,blue_plains,3,20,UTILITY,1,NONE,PASSIVE,LANE_UNIT,Floop ability costs 1 less Magic Point for creature in this lane,art_str_stonehenge
str_28,Sun Pyramid,sandy_lands,2,18,BUFF_ATK,4,NONE,ON_FLOOP,LANE_UNIT,Creature in this lane gets +4 Attack every time it uses a floop ability,art_str_sun_pyramid
str_29,The Big Hen House,corn_fields,2,16,BUFF_DEF,4,NONE,PASSIVE,LANE_UNIT,Creature in this lane gets +4 Attack and +4 Defense,art_str_the_big_hen_house
str_30,Woad Mobile Home,rainbow,1,14,BUFF_DEF,3,SCALING_COUNT,PASSIVE,LANE_UNIT,Creature in this lane gets +3 Defense for each of your creatures on the field,art_str_woad_mobile_home
